diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType
C0004403	Autosome Abnormalities	group	C23	Cell or Molecular Dysfunction
C0005684	Malignant neoplasm of urinary bladder	disease	C04;C13;C12	Neoplastic Process
C0005695	Bladder Neoplasm	disease	C04;C13;C12	Neoplastic Process
C0006826	Malignant Neoplasms	group	C04	Neoplastic Process
C0008625	Chromosome Aberrations	group	C23	Cell or Molecular Dysfunction
C0013221	Drug toxicity	group	C25	Injury or Poisoning
C0027651	Neoplasms	group	C04	Neoplastic Process
C0028796	Dermatitis, Occupational	disease	C17;C24	Disease or Syndrome
C0033578	Prostatic Neoplasms	group	C04;C12	Neoplastic Process
C0041755	Adverse reaction to drug	group	C25	Pathologic Function
C0086457	Industrial Dermatosis	disease	C17;C24	Disease or Syndrome
C0086692	Benign Neoplasm	group	C04	Neoplastic Process
C0376358	Malignant neoplasm of prostate	disease	C04;C12	Neoplastic Process
C0006142	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process
C0010054	Coronary Arteriosclerosis	disease	C14	Disease or Syndrome
C0011999	Diastematomyelia	disease	C16;C10	Congenital Abnormality
C0013182	Drug Allergy	group	C20;C25	Pathologic Function
C0019193	Hepatitis, Toxic	disease	C06;C25	Injury or Poisoning
C0023452	Childhood Acute Lymphoblastic Leukemia	disease	C04;C20;C15	Neoplastic Process
C0023453	L2 Acute Lymphoblastic Leukemia	disease	C04;C20;C15	Neoplastic Process
C0023530	Leukopenia	disease	C15	Disease or Syndrome
C0023903	Liver neoplasms	group	C06;C04	Neoplastic Process
C0027794	Neural Tube Defects	group	C16;C10	Congenital Abnormality
C0027806	Neurenteric Cyst	disease	C16;C10	Congenital Abnormality
C0080218	Tethered Cord Syndrome	disease	C16;C10	Disease or Syndrome
C0152234	Iniencephaly	disease	C16;C10	Congenital Abnormality
C0152426	Craniorachischisis	disease	C16;C10	Congenital Abnormality
C0266453	Exencephaly	disease	C16;C10	Congenital Abnormality
C0344479	Spinal Cord Myelodysplasia	disease	C16;C10	Congenital Abnormality
C0345904	Malignant neoplasm of liver	disease	C06;C04	Neoplastic Process
C0345967	Malignant mesothelioma	disease	C04;C08	Neoplastic Process
C0678222	Breast Carcinoma	disease	C04;C17	Neoplastic Process
C0702169	Acrania	disease	C16;C10	Congenital Abnormality
C0860207	Drug-Induced Liver Disease	phenotype	C06;C25	Disease or Syndrome
C1257931	Mammary Neoplasms, Human	disease	C04;C17	Neoplastic Process
C1262760	Hepatitis, Drug-Induced	disease	C06;C25	Disease or Syndrome
C1458155	Mammary Neoplasms	group	C04;C17	Neoplastic Process
C1956346	Coronary Artery Disease	disease	C14	Disease or Syndrome
C1961102	Precursor Cell Lymphoblastic Leukemia Lymphoma	disease	C04;C20;C15	Neoplastic Process
C3658290	Drug-Induced Acute Liver Injury	disease	C06;C25	Disease or Syndrome
C4277682	Chemical and Drug Induced Liver Injury	disease	C06;C25	Disease or Syndrome
C4279912	Chemically-Induced Liver Toxicity	disease	C06;C25	Disease or Syndrome
C4704874	Mammary Carcinoma, Human	disease	C04;C17	Neoplastic Process
C0023794	Lipoidosis	disease	C16;C18	Disease or Syndrome
C0005587	Depression, Bipolar	disease	F03	Mental or Behavioral Dysfunction
C0393770	Delayed Sleep Phase Syndrome	disease	C10;F03;C24	Disease or Syndrome
C0494410	Nonorganic Sleep Wake Cycle Disorders	disease	C10;F03;C24	Mental or Behavioral Dysfunction
C0751758	Advanced Sleep Phase Syndrome	disease	C10;F03;C24	Disease or Syndrome
C0751759	Non-24 Hour Sleep-Wake Disorder	disease	C10;F03;C24	Mental or Behavioral Dysfunction
C0751760	Shift-Work Sleep Disorder	disease	C10;F03;C24	Mental or Behavioral Dysfunction
C0877792	Sleep Disorders, Circadian Rhythm	group	C10;F03;C24	Pathologic Function
C2750090	Charcot-Marie-Tooth Disease, Axonal, Type 2n	disease	C16;C10	Disease or Syndrome
C4225361	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29	disease		Disease or Syndrome
C0004352	Autistic Disorder	disease	F03	Mental or Behavioral Dysfunction
C0017168	Gastroesophageal reflux disease	disease	C06	Disease or Syndrome
C0022333	Jacksonian Seizure	disease	C23;C10	Disease or Syndrome
C0023380	Lethargy	phenotype	C23;C10;F01	Sign or Symptom
C0026825	Flaccid Muscle Tone	phenotype	C23;C10	Sign or Symptom
C0026827	Muscle hypotonia	phenotype	C23;C10	Finding
C0033922	Psychomotor Disorders	group	C23;C10;F01	Mental or Behavioral Dysfunction
C0034933	Reflex, Abnormal	phenotype	C23;C10	Finding
C0036572	Seizures	phenotype	C23;C10	Sign or Symptom
C0149958	Complex partial seizures	disease	C23;C10	Disease or Syndrome
C0151572	Reflex, Corneal, Decreased	phenotype	C23;C10	Finding
C0151888	Hyporeflexia	phenotype	C23;C10	Finding
C0151889	Hyperreflexia	phenotype	C23;C10	Finding
C0234146	Absent reflex	phenotype	C23;C10	Finding
C0234533	Generalized seizures	disease	C23;C10	Disease or Syndrome
C0234535	Clonic Seizures	disease	C23;C10	Disease or Syndrome
C0234784	Reflex, Gag, Absent	phenotype	C23;C10	Finding
C0241772	Reflex, Deep Tendon, Absent	phenotype	C23;C10	Finding
C0270824	Visual seizure	disease	C23;C10	Disease or Syndrome
C0270844	Tonic Seizures	phenotype	C23;C10	Disease or Syndrome
C0270846	Epileptic drop attack	disease	C23;C10	Disease or Syndrome
C0277839	Hoffman's Reflex	phenotype	C23;C10	Finding
C0277850	Reflex, Pendular	phenotype	C23;C10	Finding
C0278211	Reflex, Corneal, Absent	phenotype	C23;C10	Finding
C0342708	Gamma aminobutyric acid transaminase deficiency	disease	C16;C18	Disease or Syndrome
C0422850	Seizures, Somatosensory	phenotype	C23;C10	Pathologic Function
C0422852	Seizures, Auditory	phenotype	C23;C10	Pathologic Function
C0422853	Olfactory seizure	phenotype	C23;C10	Disease or Syndrome
C0422854	Gustatory seizure	phenotype	C23;C10	Sign or Symptom
C0422855	Vertiginous seizure	phenotype	C23;C10	Disease or Syndrome
C0424230	Motor retardation	phenotype	C23;C10;F01	Finding
C0424605	Developmental delay (disorder)	phenotype	F03	Mental or Behavioral Dysfunction
C0427201	Floppy Muscles	phenotype	C23;C10	Sign or Symptom
C0427202	Muscle Tone Atonic	phenotype	C23;C10	Sign or Symptom
C0494475	Tonic - clonic seizures	disease	C23;C10	Disease or Syndrome
C0522345	Reflex, Acoustic, Abnormal	phenotype	C23;C10	Finding
C0557874	Global developmental delay	disease		Mental or Behavioral Dysfunction
C0558845	Reflex, Ankle, Absent	phenotype	C23;C10	Finding
C0558846	Reflex, Triceps, Absent	phenotype	C23;C10	Finding
C0558847	Reflex, Biceps, Absent	phenotype	C23;C10	Finding
C0576612	Reflex, Anal, Absent	phenotype	C23;C10	Finding
C0743002	Abnormal Deep Tendon Reflex	phenotype	C23;C10	Finding
C0751056	Non-epileptic convulsion	phenotype	C23;C10	Sign or Symptom
C0751110	Single Seizure	disease	C23;C10	Disease or Syndrome
C0751123	Atonic Absence Seizures	phenotype	C23;C10	Disease or Syndrome
C0751330	Unilateral Hypotonia	phenotype	C23;C10	Sign or Symptom
C0751456	Developmental Psychomotor Disorders	group	C23;C10;F01	Mental or Behavioral Dysfunction
C0751468	Bulbocavernosus Reflex, Decreased	phenotype	C23;C10	Finding
C0751469	Bulbocavernousus Reflex Absent	phenotype	C23;C10	Finding
C0751470	Palmo-Mental Reflex	phenotype	C23;C10	Finding
C0751471	Reflex, Anal, Decreased	phenotype	C23;C10	Finding
C0751472	Reflex, Ankle, Abnormal	phenotype	C23;C10	Finding
C0751473	Reflex, Ankle, Decreased	phenotype	C23;C10	Finding
C0751474	Reflex, Biceps, Abnormal	phenotype	C23;C10	Finding
C0751475	Reflex, Biceps, Decreased	phenotype	C23;C10	Finding
C0751476	Reflex, Gag, Decreased	phenotype	C23;C10	Finding
C0751477	Reflex, Knee, Abnormal	phenotype	C23;C10	Finding
C0751478	Reflex, Knee, Decreased	phenotype	C23;C10	Finding
C0751479	Reflex, Moro, Asymmetric	phenotype	C23;C10	Finding
C0751480	Reflex, Triceps, Abnormal	phenotype	C23;C10	Finding
C0751481	Reflex, Triceps, Decreased	phenotype	C23;C10	Finding
C0751494	Convulsive Seizures	phenotype	C23;C10	Sign or Symptom
C0751495	Seizures, Focal	phenotype	C23;C10	Disease or Syndrome
C0751496	Seizures, Sensory	phenotype	C23;C10	Sign or Symptom
C2267233	Neonatal Hypotonia	disease	C23;C10	Disease or Syndrome
C3495874	Nonepileptic Seizures	phenotype	C23;C10	Disease or Syndrome
C4048158	Convulsions	phenotype	C23;C10	Sign or Symptom
C4316903	Absence Seizures	phenotype	C23;C10	Disease or Syndrome
C4317109	Epileptic Seizures	phenotype	C23;C10	Disease or Syndrome
C4317123	Myoclonic Seizures	phenotype	C23;C10	Sign or Symptom
C4505436	Generalized Absence Seizures	phenotype	C23;C10	Disease or Syndrome
C0004153	Atherosclerosis	disease	C14	Disease or Syndrome
C0009402	Colorectal Carcinoma	disease	C06;C04	Neoplastic Process
C0009404	Colorectal Neoplasms	group	C06;C04	Neoplastic Process
C0020443	Hypercholesterolemia	disease	C18	Disease or Syndrome
C0020445	Hypercholesterolemia, Familial	disease	C16;C18	Disease or Syndrome
C0022661	Kidney Failure, Chronic	disease	C13;C12	Disease or Syndrome
C0039292	Tangier Disease	disease	C16;C18;C10	Disease or Syndrome
C0342898	Apolipoprotein A-I deficiency	phenotype	C16;C18	Pathologic Function
C0473527	Hypoalphalipoproteinemias	disease	C16;C18	Disease or Syndrome
C0745103	Hyperlipoproteinemia Type IIa	disease	C16;C18	Disease or Syndrome
C0751544	Tangier Disease Neuropathy	disease	C16;C18;C10	Disease or Syndrome
C1563937	Atherogenesis	phenotype	C14	Pathologic Function
C1704417	Hyperlipoproteinemia Type IIb	disease	C16;C18	Disease or Syndrome
C1704429	Hypoalphalipoproteinemia, Familial	disease	C16;C18	Disease or Syndrome
C2931838	Familial HDL deficiency	disease	C16;C18	Disease or Syndrome
C3711531	Hdl Deficiency, Type 2	disease	C16;C18	Disease or Syndrome
C4721453	Peripheral Nervous System Diseases	group	C10	Disease or Syndrome
C0013990	Pathological accumulation of air in tissues	phenotype	C23	Pathologic Function
C0020192	Hyaline Membrane Disease	disease	C16;C08	Disease or Syndrome
C0020542	Pulmonary Hypertension	phenotype	C08	Pathologic Function
C0034069	Pulmonary Fibrosis	disease	C08	Disease or Syndrome
C0035220	Respiratory Distress Syndrome, Newborn	disease	C16;C08	Disease or Syndrome
C0085786	Hamman-Rich syndrome	disease	C23;C01;C08	Disease or Syndrome
C0852283	Respiratory Distress Syndrome	disease		Disease or Syndrome
C1800706	Idiopathic Pulmonary Fibrosis	disease	C08	Disease or Syndrome
C1861829	Cataract microcornea syndrome	disease	C11	Disease or Syndrome
C1970456	Surfactant Metabolism Dysfunction, Pulmonary, 3	disease	C08	Disease or Syndrome
C4721507	Alveolitis, Fibrosing	disease	C08	Disease or Syndrome
C0002896	Sideroblastic anemia	disease	C15	Disease or Syndrome
C0004134	Ataxia	phenotype	C23;C10	Sign or Symptom
C0240991	Ataxia, Sensory	phenotype	C23;C10	Sign or Symptom
C0278161	Ataxia, Motor	phenotype	C23;C10	Finding
C0427190	Ataxia, Truncal	phenotype	C23;C10	Sign or Symptom
C0520966	Abnormal coordination	phenotype	C23;C10	Finding
C0750937	Ataxia, Appendicular	phenotype	C23;C10	Finding
C0750940	Tremor, Rubral	disease	C23;C10	Disease or Syndrome
C1845028	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA	disease	C16;C10;C15	Disease or Syndrome
C0020517	Hypersensitivity	group	C20	Pathologic Function
C0032285	Pneumonia	disease	C01;C08	Disease or Syndrome
C0032300	Lobar Pneumonia	disease	C01;C08	Disease or Syndrome
C0235874	Disease Exacerbation	phenotype	C23	Finding
C0887898	Experimental Lung Inflammation	disease	C01;C08	Experimental Model of Disease
C1527304	Allergic Reaction	phenotype	C20	Pathologic Function
C3714636	Pneumonitis	disease	C01;C08	Disease or Syndrome
C0008924	Cleft upper lip	disease	C16;C07	Congenital Abnormality
C0015397	Disorder of eye	group	C11	Disease or Syndrome
C0035334	Retinitis Pigmentosa	disease	C16;C11	Disease or Syndrome
C0242383	Age related macular degeneration	disease	C11	Disease or Syndrome
C0271093	Stargardt's disease	phenotype		Disease or Syndrome
C0339539	Familial Exudative Vitreoretinopathy	disease		Congenital Abnormality
C1855465	STARGARDT DISEASE 1 (disorder)	disease		Disease or Syndrome
C1858080	Retinal Dystrophy, Early Onset Severe	disease	C16;C11	Disease or Syndrome
C1858806	CONE-ROD DYSTROPHY 3 (disorder)	disease	C16;C11	Disease or Syndrome
C1866422	RETINITIS PIGMENTOSA 19	disease	C16;C11	Disease or Syndrome
C3489532	Cone-Rod Dystrophy 2	disease	C16;C11	Disease or Syndrome
C3495438	Macular Degeneration, Age-Related, 2	disease	C11	Disease or Syndrome
C4282180	Juvenile macular degeneration	disease		Disease or Syndrome
C0001418	Adenocarcinoma	group	C04	Neoplastic Process
C0003706	Arachnodactyly	disease	C16;C05	Congenital Abnormality
C0005941	Bone Diseases, Developmental	group	C05	Disease or Syndrome
C0006413	Burkitt Lymphoma	disease	C04;C01;C20;C15	Neoplastic Process
C0014859	Esophageal Neoplasms	group	C06;C04	Neoplastic Process
C0015544	Failure to Thrive	disease	C23	Disease or Syndrome
C0018798	Congenital Heart Defects	group	C16;C14	Congenital Abnormality
C0023473	Myeloid Leukemia, Chronic	disease	C04;C15	Neoplastic Process
C0025202	melanoma	disease	C04	Neoplastic Process
C0027659	Neoplasms, Experimental	phenotype	C04	Neoplastic Process; Experimental Model of Disease
C0032927	Precancerous Conditions	group	C04	Neoplastic Process
C0039075	Syndactyly	disease	C16;C05	Congenital Abnormality
C0151491	Congenital musculoskeletal anomalies	group	C16;C05	Congenital Abnormality
C0205641	Adenocarcinoma, Basal Cell	disease	C04	Neoplastic Process
C0205642	Adenocarcinoma, Oxyphilic	disease	C04	Neoplastic Process
C0205643	Carcinoma, Cribriform	disease	C04	Neoplastic Process
C0205644	Carcinoma, Granular Cell	disease	C04	Neoplastic Process
C0205645	Adenocarcinoma, Tubular	disease	C04	Neoplastic Process
C0265610	Clinodactyly of fingers	disease	C16;C05	Congenital Abnormality
C0282313	Condition, Preneoplastic	disease	C04	Neoplastic Process
C0345958	Large cell carcinoma of lung	disease	C04;C08	Neoplastic Process
C0546837	Malignant neoplasm of esophagus	disease	C06;C04	Neoplastic Process
C0596263	Carcinogenesis	phenotype	C23;C04	Neoplastic Process
C1292769	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process
C1961099	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	disease	C04;C20;C15	Neoplastic Process
C4539857	CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME	disease		Disease or Syndrome
C4551485	Clinodactyly	disease		Congenital Abnormality
C0018800	Cardiomegaly	phenotype	C23;C14	Finding
C0020538	Hypertensive disease	group	C14	Disease or Syndrome
C1383860	Cardiac Hypertrophy	phenotype	C23;C14	Pathologic Function
C0010474	Curling Ulcer	disease	C06	Disease or Syndrome
C0013295	Duodenal Ulcer	disease	C06	Disease or Syndrome
C0030297	Pancreatic Neoplasm	disease	C06;C04;C19	Neoplastic Process
C0038454	Cerebrovascular accident	group	C10;C14	Disease or Syndrome
C0085762	Alcohol abuse	disease	C25;F03	Mental or Behavioral Dysfunction
C0346647	Malignant neoplasm of pancreas	disease	C06;C04;C19	Neoplastic Process
C0525045	Mood Disorders	group	F03	Mental or Behavioral Dysfunction
C0751956	Acute Cerebrovascular Accidents	disease	C10;C14	Disease or Syndrome
C4317009	Diverticular Diseases	group	C06	Disease or Syndrome
C4505353	Diverticular Bleeding	disease	C06	Disease or Syndrome
C4721610	Carcinoma, Ovarian Epithelial	disease	C04;C13;C19	Neoplastic Process
C0018801	Heart failure	disease	C14	Disease or Syndrome
C0018802	Congestive heart failure	disease	C14	Disease or Syndrome
C0023212	Left-Sided Heart Failure	disease	C14	Disease or Syndrome
C0235527	Heart Failure, Right-Sided	disease	C14	Disease or Syndrome
C0268603	Acetyl-CoA: carboxylase deficiency	disease	C16;C18	Disease or Syndrome
C1959583	Myocardial Failure	disease	C14	Disease or Syndrome
C1961112	Heart Decompensation	phenotype	C14	Pathologic Function
C0021655	Insulin Resistance	phenotype	C18	Pathologic Function
C0028754	Obesity	disease	C23;C18	Disease or Syndrome
C0920563	Insulin Sensitivity	phenotype	C18	Pathologic Function
C1335302	Pancreatic Ductal Adenocarcinoma	disease	C06;C04;C19	Neoplastic Process
C0220711	Long chain acyl-CoA dehydrogenase deficiency	disease	C16;C18	Disease or Syndrome
C0035410	Rhabdomyolysis	phenotype	C05	Pathologic Function
C0038644	Sudden infant death syndrome	disease	C23	Disease or Syndrome
C0043094	Weight Gain	phenotype	C23	Finding
C0085605	Liver Failure	disease	C06	Disease or Syndrome
C0220710	Medium-chain acyl-coenzyme A dehydrogenase deficiency	disease	C16;C18	Disease or Syndrome
C0520459	Necrotizing Enterocolitis	disease	C06	Disease or Syndrome
C0005586	Bipolar Disorder	disease	F03	Mental or Behavioral Dysfunction
C0342783	Deficiency of butyryl-CoA dehydrogenase	disease	C16;C18	Disease or Syndrome
C1864912	2-Methylbutyryl-CoA Dehydrogenase Deficiency	disease	C16;C18	Disease or Syndrome
C0003129	Anoxemia	phenotype	C23	Sign or Symptom
C0003130	Anoxia	phenotype	C23	Pathologic Function
C0242184	Hypoxia	phenotype	C23	Pathologic Function
C0270984	Metabolic myopathy	group	C05;C10	Disease or Syndrome
C0369183	Erythrocyte Mean Corpuscular Hemoglobin Test	phenotype		Laboratory Procedure
C0700292	Hypoxemia	phenotype	C23	Finding
C1261502	Finding of Mean Corpuscular Hemoglobin	phenotype		Finding
C3887523	Very long chain acyl-CoA dehydrogenase deficiency	disease	C16;C18;C05;C10;C15	Disease or Syndrome
C1536500	Deficiency of acetyl-CoA acetyltransferase	disease	C16;C18	Disease or Syndrome
C0342735	Cytosolic acetoacetyl-CoA thiolase deficiency	disease	C16;C18	Disease or Syndrome
C0021368	Inflammation	phenotype	C23	Pathologic Function
C0007786	Brain Ischemia	disease	C10;C14	Disease or Syndrome
C0917798	Cerebral Ischemia	disease	C10;C14	Pathologic Function
C0002726	Amyloidosis	disease	C18	Disease or Syndrome
C0002871	Anemia	disease	C15	Disease or Syndrome
C0007134	Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process
C0018273	Growth Disorders	group	C23	Pathologic Function
C0023186	Learning Disorders	group	C23;C10;F03	Mental or Behavioral Dysfunction
C0025261	Memory Disorders	disease	C23;C10;F01	Mental or Behavioral Dysfunction
C0026650	Movement Disorders	group	C10	Disease or Syndrome
C0026850	Muscular Dystrophy	disease	C16;C05;C10	Disease or Syndrome
C0027765	nervous system disorder	group	C10	Disease or Syndrome
C0040822	Tremor	phenotype	C23;C10	Sign or Symptom
C0040827	Saturnine Tremor	phenotype	C23;C10	Sign or Symptom
C0149840	Senile Tremor	phenotype	C23;C10	Sign or Symptom
C0233794	Memory impairment	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction
C0234370	Persistent Tremor	phenotype	C23;C10	Sign or Symptom
C0234371	Continuous Tremor	phenotype	C23;C10	Sign or Symptom
C0234372	Intermittent Tremor	phenotype	C23;C10	Sign or Symptom
C0234373	Fine Tremor	phenotype	C23;C10	Sign or Symptom
C0234374	Coarse Tremor	phenotype	C23;C10	Sign or Symptom
C0234375	Massive Tremor	phenotype	C23;C10	Sign or Symptom
C0234376	Action Tremor	phenotype	C23;C10	Sign or Symptom
C0234377	Passive Tremor	phenotype	C23;C10	Sign or Symptom
C0234378	Static Tremor	phenotype	C23;C10	Sign or Symptom
C0234379	Resting Tremor	phenotype	C23;C10	Sign or Symptom
C0234381	Darkness Tremor	phenotype	C23;C10	Sign or Symptom
C0235078	Tremor, Perioral	phenotype	C23;C10	Sign or Symptom
C0235081	Tremor, Limb	phenotype	C23;C10	Sign or Symptom
C0235082	Tremor, Muscle	phenotype	C23;C10	Sign or Symptom
C0235083	Nerve Tremors	phenotype	C23;C10	Sign or Symptom
C0235843	Tremor, Neonatal	phenotype	C23;C10	Sign or Symptom
C0236733	Amphetamine-Related Disorders	group	C25;F03	Mental or Behavioral Dysfunction
C0236804	Amphetamine Addiction	disease	C25;F03	Mental or Behavioral Dysfunction
C0236807	Amphetamine Abuse	disease	C25;F03	Mental or Behavioral Dysfunction
C0266487	Etat Marbre	disease	C10	Disease or Syndrome
C0279702	Conventional (Clear Cell) Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process
C0353676	Organophosphorus Poisoning	disease	C25	Injury or Poisoning
C0700359	Organophosphate poisoning	disease	C25	Injury or Poisoning
C0751262	Adult Learning Disorders	group	C23;C10;F03	Mental or Behavioral Dysfunction
C0751263	Learning Disturbance	disease	C23;C10;F03	Mental or Behavioral Dysfunction
C0751265	Learning Disabilities	disease	C23;C10;F03	Mental or Behavioral Dysfunction
C0751292	Age-Related Memory Disorders	group	C23;C10;F01	Mental or Behavioral Dysfunction
C0751293	Memory Disorder, Semantic	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction
C0751294	Memory Disorder, Spatial	phenotype	C23;C10;F01	Mental or Behavioral Dysfunction
C0751295	Memory Loss	phenotype	C23;C10;F01	Sign or Symptom
C0751564	Pill Rolling Tremor	phenotype	C23;C10	Sign or Symptom
C0751565	Tremor, Semirhythmic	phenotype	C23;C10	Finding
C1266042	Chromophobe Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process
C1266043	Sarcomatoid Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process
C1266044	Collecting Duct Carcinoma of the Kidney	disease	C04;C13;C12	Neoplastic Process
C1306837	Papillary Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process
C1330966	Developmental Academic Disorder	phenotype	C23;C10;F03	Finding
C1527384	Involuntary Quiver	phenotype	C23;C10	Sign or Symptom
C3494247	Organothiophosphonate Poisoning	disease	C25	Injury or Poisoning
C3494248	Organothiophosphate Poisoning	disease	C25	Injury or Poisoning
C0027626	Neoplasm Invasiveness	phenotype	C23;C04	Pathologic Function
C0029408	Degenerative polyarthritis	disease	C05	Disease or Syndrome
C0086743	Osteoarthrosis Deformans	disease	C05	Disease or Syndrome
C0035222	Respiratory Distress Syndrome, Adult	disease	C08	Disease or Syndrome
C3281192	INFANTILE CEREBELLAR-RETINAL DEGENERATION	disease		Disease or Syndrome
C4225384	OPTIC ATROPHY 9	disease		Disease or Syndrome
C0002152	Alloxan Diabetes	disease	C18;C19	Experimental Model of Disease
C0011853	Diabetes Mellitus, Experimental	disease	C18;C19	Experimental Model of Disease
C0038433	Streptozotocin Diabetes	disease	C18;C19	Experimental Model of Disease
C1849678	Peroxisomal ACYL-COA oxidase deficiency	disease	C16;C18;C10;C19	Disease or Syndrome
C0041696	Unipolar Depression	disease	F03	Mental or Behavioral Dysfunction
C1269683	Major Depressive Disorder	disease	F03	Mental or Behavioral Dysfunction
C0268410	Acid Phosphatase Deficiency	disease	C16;C18	Disease or Syndrome
C0020503	Hyperparathyroidism, Secondary	disease	C19	Disease or Syndrome
C0432222	Spondyloenchondrodysplasia	disease	C16;C05;C20	Disease or Syndrome
C0878659	Disproportionate short stature	phenotype	C16;C05;C19	Finding
C1842763	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION	disease	C16;C05;C20	Disease or Syndrome
C3860213	Autoinflammatory disorder	disease		Disease or Syndrome
C0087031	Juvenile-Onset Still Disease	disease	C17;C05;C20	Disease or Syndrome
C3495559	Juvenile arthritis	disease	C17;C05;C20	Disease or Syndrome
C3714758	Juvenile psoriatic arthritis	disease	C17;C05;C20	Disease or Syndrome
C4552091	Polyarthritis, Juvenile, Rheumatoid Factor Negative	disease	C17;C05;C20	Disease or Syndrome
C4704862	Polyarthritis, Juvenile, Rheumatoid Factor Positive	disease	C17;C05;C20	Disease or Syndrome
C0007193	Cardiomyopathy, Dilated	group	C14	Disease or Syndrome
C0007194	Hypertrophic Cardiomyopathy	disease	C14	Disease or Syndrome
C0149721	Left Ventricular Hypertrophy	disease	C23;C14	Disease or Syndrome
C0175709	Centronuclear myopathy	disease	C05;C10	Disease or Syndrome
C0206157	Myopathies, Nemaline	disease	C05;C10	Disease or Syndrome
C0270969	Zebra body myopathy	disease	C05;C10	Disease or Syndrome
C0410180	Eichsfeld type congenital muscular dystrophy	disease	C16;C05;C10	Disease or Syndrome
C0410203	X-linked centronuclear myopathy	disease	C05;C10	Congenital Abnormality
C0410207	Tubular Aggregate Myopathy	disease	C05;C10	Disease or Syndrome
C0546125	Nemaline Myopathy, Childhood Onset	disease	C05;C10	Disease or Syndrome
C0546264	Congenital Fiber Type Disproportion	disease	C05;C10	Congenital Abnormality
C0752282	Congenital Structural Myopathy	disease	C05;C10	Disease or Syndrome
C1834339	Myopathy, Actin, Congenital, with Excess of Thin Myofilaments	disease	C05;C10	Disease or Syndrome
C1834558	Myopathy, Centronuclear, Autosomal Dominant	disease	C05;C10	Disease or Syndrome
C2750537	Myopathy, Actin, Congenital, With Cores	disease	C05;C10	Disease or Syndrome
C3645536	Autosomal Recessive Centronuclear Myopathy	disease	C05;C10	Disease or Syndrome
C3661489	Autosomal Dominant Myotubular Myopathy	disease	C05;C10	Disease or Syndrome
C3711389	Actin-Accumulation Myopathy	disease	C05;C10	Disease or Syndrome
